,timestep,Positive_prop,Negative_prop,Time_prop,Human_prop,Object_prop,Knowledge_prop,Number_prop,Communication_prop,Place_prop,Government_prop,Positive_cnts,Negative_cnts,Time_cnts,Human_cnts,Object_cnts,Knowledge_cnts,Number_cnts,Communication_cnts,Place_cnts,Government_cnts,num_words
1923,1995-06-10,0.1705388255424897,0.20640384069947573,0.10547216663548212,0.16469494182673006,0.13646167651301142,0.04392850468382538,0.10427677654375765,0.019005065335850935,0.04569304860242404,0.003525153616952882,234.83333333333334,292.66666666666663,165.0,289.33333333333337,182.99999999999997,48.16666666666667,191.33333333333334,21.5,81.5,6.0,1513.3333333333335
1924,1995-06-17,0.17593552283698297,0.19985785099163916,0.1045465525854283,0.172268641391293,0.13748953893434146,0.04096071835421174,0.10508432557230492,0.017801084175037007,0.04257208393730207,0.003483681221459319,251.83333333333331,288.66666666666663,179.66666666666666,306.3333333333333,188.99999999999997,46.16666666666667,201.66666666666669,20.5,80.5,6.0,1570.3333333333333
1925,1995-06-24,0.18175944667355182,0.20316549671331685,0.09828747073559445,0.16173685440124808,0.14231931517859345,0.04884331403741043,0.10161412092656101,0.017239820842117025,0.04232677474328541,0.0027073857483214205,257.5,283.16666666666663,164.66666666666666,264.33333333333337,180.0,53.5,180.33333333333331,21.5,72.5,3.0,1480.5000000000002
1926,1995-07-01,0.185292299769897,0.20527807272226903,0.09846077496400502,0.16298686574559906,0.12911592292234106,0.057104603179202705,0.09781649896182315,0.017239820842117025,0.04399775514442454,0.0027073857483214205,238.83333333333331,296.8333333333333,168.66666666666666,274.6666666666667,186.83333333333334,70.83333333333334,172.66666666666666,21.5,74.5,3.0,1508.3333333333335
1927,1995-07-08,0.18015273803600235,0.19105741767510268,0.10674962475859011,0.16679164455509857,0.1351108671295439,0.05482254850748974,0.09928290103626737,0.016093993521664293,0.046354365630265244,0.003583899149975666,230.49999999999997,258.1666666666667,165.16666666666666,267.6666666666667,185.83333333333334,64.83333333333334,173.33333333333334,20.5,74.5,4.0,1444.5000000000002
1928,1995-07-15,0.1765717680614117,0.19145065572745,0.11985610142928427,0.16435983720282135,0.13324225174805235,0.054657803818212704,0.09295182530672504,0.012529587707085326,0.04896331999759317,0.005416849001363969,229.5,247.83333333333334,166.16666666666663,256.0,188.16666666666666,61.833333333333336,169.00000000000003,19.5,80.5,7.0,1425.5
1929,1995-07-22,0.1643602140542461,0.1936157245874765,0.1300109843533628,0.16468226329769942,0.12937001554332192,0.05381638905125433,0.09750103662207527,0.013094335487481342,0.04833281203880591,0.005216224964276415,217.5,265.83333333333337,180.8333333333333,263.0,196.16666666666666,63.833333333333336,184.00000000000003,20.5,82.5,7.0,1481.1666666666667
1930,1995-07-29,0.164667232374974,0.19478149303910663,0.12689799570713647,0.15005370522830186,0.12944645937621568,0.053493626201258374,0.10487346424307584,0.013094335487481342,0.05747546337817333,0.005216224964276415,217.5,266.83333333333337,176.16666666666663,245.0,193.16666666666666,63.833333333333336,194.66666666666669,20.5,88.5,7.0,1473.1666666666667
1931,1995-08-05,0.17711211773652602,0.19908288437753502,0.12035919500166908,0.14420910401333023,0.12356756460843205,0.04819380256810141,0.11001749716488655,0.013094335487481342,0.059147274077761804,0.005216224964276415,225.16666666666666,260.1666666666667,184.83333333333331,237.0,187.16666666666666,56.16666666666667,195.66666666666669,20.5,98.5,7.0,1472.1666666666667
1932,1995-08-12,0.17215669185885124,0.19209373671794203,0.12400934363046198,0.13826963920906074,0.13109662809670022,0.04503719341302519,0.10664187168020345,0.014785693765508572,0.06940157561339885,0.00650762601484757,217.83333333333331,253.83333333333337,182.16666666666666,220.00000000000003,200.16666666666666,55.16666666666667,192.66666666666669,22.5,105.5,8.0,1457.8333333333333
1933,1995-08-19,0.1658546365041948,0.18083644076513886,0.12873077130559676,0.13171717344122108,0.14686643647454373,0.050051019182903826,0.11491133949572416,0.01496823319471238,0.06012575513880221,0.005938194497162128,213.16666666666666,245.33333333333334,211.83333333333331,210.00000000000003,216.16666666666666,62.16666666666667,190.66666666666669,22.5,89.5,7.0,1468.3333333333333
1934,1995-08-26,0.16812616964802984,0.1829098341808652,0.12086280025891744,0.14342437588895945,0.14600261892945085,0.04842438073758386,0.10760235712563983,0.014785693765508572,0.06402851229914888,0.003833257165895923,221.16666666666666,258.6666666666667,187.49999999999997,224.00000000000003,220.16666666666666,61.16666666666667,173.66666666666669,22.5,101.5,5.0,1475.3333333333333
1935,1995-09-02,0.1778635110144084,0.1659009507478381,0.12146253515811803,0.14569238251320715,0.14362779631315153,0.04416224529620096,0.11485660342632424,0.013535355828934444,0.07047938188643188,0.0024192378153851733,227.16666666666666,240.16666666666666,200.0,233.16666666666669,222.16666666666669,59.16666666666667,179.66666666666669,21.5,113.16666666666667,4.0,1500.1666666666667
1936,1995-09-09,0.17436595101733418,0.1833621248905479,0.10806317377758662,0.1499794105466743,0.1405958166863923,0.04842624956184159,0.10553782098283225,0.014414178632331066,0.07286449771043205,0.002390776194027701,218.5,274.83333333333337,160.0,262.5,230.16666666666666,71.16666666666667,168.33333333333334,23.5,114.83333333333334,4.0,1527.8333333333335
1937,1995-09-16,0.17241888971970767,0.1738144740306973,0.11360958867872448,0.14841686636954676,0.13696127065215327,0.050635446552700185,0.10733052714450886,0.013701513764513262,0.0778414698724207,0.005269953215027379,219.5,270.8333333333333,167.33333333333334,257.16666666666663,223.16666666666666,72.16666666666667,169.16666666666669,22.5,119.83333333333334,6.0,1527.666666666667
1938,1995-09-23,0.17791195482119168,0.17111604937112126,0.11504793145769657,0.14847722626439158,0.13163402812723637,0.05150355098800999,0.09873291135400658,0.013017519236469486,0.08865686422093659,0.003901964158939827,227.5,285.0,196.5,256.66666666666663,218.16666666666666,73.66666666666667,163.16666666666669,21.5,128.83333333333334,4.0,1575.0000000000002
1939,1995-09-30,0.196979365046748,0.17634704006899757,0.10807680141646468,0.140699084428449,0.12574141356797847,0.05288966087579462,0.0954126822999081,0.013170666521604422,0.0867354161544219,0.003947869619633237,345.5,300.33333333333337,195.5,254.5,219.16666666666666,75.66666666666667,162.66666666666669,21.5,135.83333333333334,4.0,1714.6666666666667
1940,1995-10-07,0.19091078082201654,0.16770918596981815,0.10867522764815118,0.15788779214796175,0.12270822637665744,0.048214297002191805,0.0968098764705624,0.014028641582273328,0.08857261247259034,0.004483359507777036,341.8333333333333,296.6666666666667,202.5,312.33333333333337,223.49999999999997,69.33333333333334,168.66666666666666,23.5,151.83333333333334,6.0,1796.166666666667
1941,1995-10-14,0.19528394188105153,0.17100641534633673,0.11111487780249393,0.14133661910836087,0.12106820512402713,0.05895067141870983,0.09542337247958856,0.015482129954366352,0.08586226310011512,0.004471503784949889,352.5,311.0,207.50000000000003,246.0,227.49999999999997,95.33333333333334,174.99999999999997,24.5,152.16666666666666,6.0,1797.5000000000002
1942,1995-10-21,0.1842468441476474,0.17665085071033432,0.11782194752255956,0.14602533010692142,0.1207780256272813,0.0531985591344498,0.08655587199102104,0.015482129954366352,0.09476893702046893,0.004471503784949889,351.1666666666667,320.0,214.5,274.1666666666667,242.5,97.83333333333334,168.99999999999997,24.5,176.33333333333331,6.0,1876.0000000000002
1943,1995-10-28,0.19198475688341987,0.16689790644620128,0.1267073471408896,0.15026342987033942,0.12532214168413627,0.040159671306920705,0.07554365303412207,0.018065274268642344,0.10047785120454636,0.004577968160782029,356.1666666666667,315.1666666666667,225.5,288.1666666666667,245.83333333333334,75.83333333333334,167.99999999999997,19.5,182.33333333333331,6.0,1882.5000000000002
1944,1995-11-04,0.1981317643572251,0.1602117204571669,0.1299290288789999,0.1522716450559038,0.12684972433098954,0.039687204585662814,0.0641028033523626,0.025997538010278223,0.0982944612595794,0.004524109711831652,361.1666666666667,300.5,185.5,267.5,226.83333333333334,75.83333333333334,121.33333333333334,28.5,178.33333333333331,6.0,1751.5000000000002
1945,1995-11-11,0.19932056932837613,0.15153055437543114,0.13404164628829718,0.15394423206176172,0.1261966820563928,0.04620141067189298,0.06121392911938696,0.02540930271616058,0.09809059590564456,0.004051077476655793,365.5,303.1666666666667,187.5,259.5,237.83333333333334,86.83333333333334,116.0,26.5,180.33333333333331,6.0,1769.1666666666665
1946,1995-11-18,0.19152577070759608,0.1549739043573873,0.13247876483405052,0.15838033500749416,0.12042763927716373,0.04315428218786418,0.06547028243530745,0.025711794415162487,0.10377792218850079,0.004099304589473124,363.1666666666667,309.83333333333337,184.83333333333334,273.8333333333333,226.33333333333334,79.5,123.0,26.5,181.66666666666666,6.0,1774.6666666666665
1947,1995-11-25,0.18534425363694002,0.1622161979751448,0.1353014277469225,0.16061967270644198,0.1168345424233891,0.04193835769754944,0.06461342182819872,0.026338911352117668,0.10259392700505487,0.004199287628240761,357.1666666666667,295.83333333333337,180.83333333333334,263.83333333333337,208.33333333333331,72.5,118.0,26.5,172.0,6.0,1701.0
1948,1995-12-02,0.18619800558485178,0.15503834727989654,0.15059258120435523,0.1602079407748756,0.11342819472458829,0.0468522453676479,0.061444240061481574,0.026021575070766852,0.0958442791396551,0.0043725907918809774,348.1666666666667,275.66666666666663,193.33333333333334,272.83333333333337,211.5,72.0,109.66666666666667,26.5,154.00000000000003,7.5,1671.1666666666663
1949,1995-12-09,0.20388888188551482,0.1500488473800222,0.14986990465523956,0.1577266435599078,0.10504648003656362,0.047854643022599216,0.06145409238139564,0.02394927122406787,0.09584069971509246,0.0043205361395966795,392.16666666666663,273.66666666666663,197.0,289.1666666666667,204.5,75.0,142.33333333333334,23.5,170.33333333333337,7.5,1775.1666666666665
1950,1995-12-16,0.20903550069109408,0.14764726888169083,0.12906374507099613,0.16855235491695628,0.10854871221661785,0.04803185731482446,0.061943730099567385,0.025385263591081883,0.0977035794041345,0.004087987813036465,392.16666666666663,253.66666666666666,183.0,300.16666666666663,192.5,73.0,138.66666666666666,25.5,168.33333333333334,6.5,1733.5
1951,1995-12-23,0.20424196359580962,0.14734577078275915,0.1287743679760355,0.16980562486809161,0.1116679177234428,0.04857612091821941,0.06500678326598244,0.02578333818418525,0.09475879139402126,0.004039321291452698,409.5,256.66666666666663,183.66666666666669,302.16666666666663,201.5,75.0,142.0,26.5,167.33333333333334,6.5,1770.8333333333333
1952,1995-12-30,0.1948091144508034,0.15256411535180728,0.1283775658564264,0.16834919808666146,0.11957919277536727,0.04744644368756316,0.062362666886093245,0.025183725668273958,0.09711832303689559,0.004209654200108132,391.5,283.0,188.66666666666663,313.49999999999994,223.83333333333334,75.0,141.0,26.5,175.33333333333334,7.5,1825.8333333333333
1953,1996-01-06,0.1906070718766678,0.15180122621682515,0.1272184665577922,0.16409670639230928,0.12310652963603745,0.05071948416990595,0.06630179981747424,0.025614388889634857,0.09516188154557036,0.00537244489778255,354.5,275.0,180.66666666666666,297.8333333333333,227.16666666666666,76.0,144.66666666666666,27.5,166.33333333333334,8.5,1758.1666666666667
