,DATE,MonthID,S&P,S&P_detrended,Unemp,Unemp_detrended,Food&Beverage,Food&Beverage_detrended,GDP,GDP_detrended,Income,Income_detrended,LoanRate,LoanRate_detrended
390,1990-07-01,1990.5,356.149994,-1.8699950000000172,5.5,0.2999999999999998,132.5,0.6999999999999886,9398.499,6.2479999999995925,6872.7,23.800000000000182,,0.01666666666666572
391,1990-08-01,1990.5833333333333,322.559998,-33.589995999999985,5.7,0.20000000000000018,132.9,0.4000000000000057,,,6829.5,-43.19999999999982,15.46,0.016666666666667496
392,1990-09-01,1990.6666666666667,306.049988,-16.510010000000023,5.9,0.20000000000000018,133.3,0.4000000000000057,,,6826.2,-3.300000000000182,,0.07666666666666622
393,1990-10-01,1990.75,304.0,-2.049987999999985,5.9,0.0,133.8,0.5,9312.937,-85.5619999999999,6770.2,-56.0,,0.07666666666666622
394,1990-11-01,1990.8333333333333,322.22000099999997,18.220000999999968,6.2,0.2999999999999998,134.2,0.39999999999997726,,,6771.9,1.699999999999818,15.69,0.07666666666666622
395,1990-12-01,1990.9166666666667,330.22000099999997,8.0,6.3,0.09999999999999964,134.3,0.10000000000002274,,,6810.8,38.900000000000546,,-0.08999999999999986
396,1991-01-01,1991.0,343.929993,13.709992000000057,6.4,0.10000000000000053,135.2,0.8999999999999773,9269.367,-43.56999999999971,6791.5,-19.300000000000182,,-0.08999999999999986
397,1991-02-01,1991.0833333333333,367.070007,23.14001399999995,6.6,0.1999999999999993,135.7,0.5,,,6800.8,9.300000000000182,15.42,-0.08999999999999986
398,1991-03-01,1991.1666666666667,375.22000099999997,8.149993999999992,6.8,0.20000000000000018,135.9,0.20000000000001705,,,6811.6,10.800000000000182,,-0.086666666666666
399,1991-04-01,1991.25,375.339996,0.11999500000001717,6.7,-0.09999999999999964,136.6,0.6999999999999886,9341.642,72.27499999999964,6838.3,26.699999999999818,,-0.08666666666666778
400,1991-05-01,1991.3333333333333,389.829987,14.489991000000032,6.9,0.20000000000000018,137.1,0.5,,,6839.6,1.300000000000182,15.16,-0.086666666666666
401,1991-06-01,1991.4166666666667,371.160004,-18.669983000000002,6.9,0.0,137.8,0.700000000000017,,,6875.1,35.5,,0.026666666666667282
402,1991-07-01,1991.5,387.809998,16.649993999999992,6.8,-0.10000000000000053,137.2,-0.6000000000000227,9388.845,47.20299999999952,6861.8,-13.300000000000182,,0.026666666666665506
403,1991-08-01,1991.5833333333333,395.429993,7.619995000000017,6.9,0.10000000000000053,136.8,-0.39999999999997726,,,6878.0,16.199999999999818,15.24,0.026666666666667282
404,1991-09-01,1991.6666666666667,387.859985,-7.57000800000003,6.9,0.0,137.0,0.19999999999998863,,,6897.1,19.100000000000364,,-0.11999999999999922
405,1991-10-01,1991.75,392.450012,4.5900270000000205,7.0,0.09999999999999964,136.9,-0.09999999999999432,9421.565,32.720000000001164,6907.6,10.5,,-0.120000000000001
406,1991-11-01,1991.8333333333333,375.22000099999997,-17.230011000000047,7.0,0.0,137.4,0.5,,,6918.8,11.199999999999818,14.88,-0.11999999999999922
407,1991-12-01,1991.9166666666667,417.089996,41.86999500000002,7.3,0.2999999999999998,137.6,0.19999999999998863,,,6982.1,63.30000000000018,,-0.163333333333334
408,1992-01-01,1992.0,408.77999900000003,-8.309996999999953,7.3,0.0,137.3,-0.29999999999998295,9534.346,112.78099999999904,7051.6,69.5,,-0.16333333333333222
409,1992-02-01,1992.0833333333333,412.700012,3.920012999999983,7.4,0.10000000000000053,137.8,0.5,,,7084.0,32.399999999999636,14.39,-0.163333333333334
410,1992-03-01,1992.1666666666667,403.690002,-9.010010000000023,7.4,0.0,138.3,0.5,,,7091.7,7.699999999999818,,-0.03666666666666707
411,1992-04-01,1992.25,414.950012,11.260010000000023,7.4,0.0,138.2,-0.10000000000002274,9637.732,103.38600000000042,7112.9,21.199999999999818,,-0.03666666666666707
412,1992-05-01,1992.3333333333333,415.350006,0.3999939999999924,7.6,0.1999999999999993,138.1,-0.09999999999999432,,,7147.1,34.20000000000073,14.28,-0.03666666666666707
413,1992-06-01,1992.4166666666667,408.140015,-7.209991000000002,7.8,0.20000000000000018,138.4,0.30000000000001137,,,7177.8,30.699999999999818,,-0.11333333333333329
414,1992-07-01,1992.5,424.209991,16.069975999999997,7.7,-0.09999999999999964,138.3,-0.09999999999999432,9732.979,95.24699999999939,7173.0,-4.800000000000182,,-0.11333333333333329
415,1992-08-01,1992.5833333333333,414.02999900000003,-10.17999199999997,7.6,-0.10000000000000053,139.1,0.799999999999983,,,7198.8,25.800000000000182,13.94,-0.11333333333333329
416,1992-09-01,1992.6666666666667,417.799988,3.7699889999999527,7.6,0.0,139.7,0.5999999999999943,,,7165.6,-33.19999999999982,,-0.129999999999999
417,1992-10-01,1992.75,418.679993,0.8800050000000397,7.3,-0.2999999999999998,139.7,0.0,9834.51,101.53100000000086,7119.7,-45.900000000000546,,-0.13000000000000078
418,1992-11-01,1992.8333333333333,431.35000599999995,12.670012999999926,7.4,0.10000000000000053,139.6,-0.09999999999999432,,,7130.6,10.900000000000546,13.55,-0.129999999999999
419,1992-12-01,1992.9166666666667,435.709991,4.3599850000000515,7.4,0.0,139.6,0.0,,,7384.7,254.09999999999945,,0.0066666666666659324
