Date,Open,High,Low,Close,Adj Close,Volume
1962-10-24,53.490002,56.840000,52.549999,56.540001,56.540001,21360000
1962-10-31,56.540001,58.700001,55.900002,58.349998,58.349998,16280000
1962-11-07,58.349998,60.060001,57.759998,59.459999,59.459999,22720000
1962-11-14,59.459999,60.669998,59.180000,60.450001,60.450001,21840000
1962-11-21,60.450001,62.130001,60.189999,61.730000,61.730000,21910000
1962-11-28,61.730000,62.930000,61.279999,62.639999,62.639999,25380000
1962-12-05,62.639999,63.500000,61.720001,62.320000,62.320000,22750000
1962-12-12,62.320000,63.160000,61.779999,62.070000,62.070000,17630000
1962-12-19,62.070000,63.279999,61.720001,62.630001,62.630001,14870000
1962-12-26,62.630001,63.430000,62.529999,63.099998,63.099998,16600000
1963-01-02,63.099998,64.980003,62.320000,64.739998,64.739998,22360000
1963-01-09,64.739998,65.620003,64.309998,65.110001,65.110001,24970000
1963-01-16,65.110001,65.800003,64.349998,65.440002,65.440002,23150000
1963-01-23,65.440002,66.589996,65.230003,66.230003,66.230003,23480000
1963-01-30,66.230003,66.660004,65.379997,66.110001,66.110001,20010000
1963-02-06,66.110001,66.809998,65.160004,65.830002,65.830002,20060000
1963-02-13,65.830002,66.959999,65.559998,66.199997,66.199997,23840000
1963-02-20,66.199997,66.279999,65.059998,65.470001,65.470001,15450000
1963-02-27,65.470001,65.739998,63.799999,64.739998,64.739998,18620000
1963-03-06,64.739998,65.970001,64.309998,65.669998,65.669998,16340000
1963-03-13,65.669998,66.269997,65.190002,65.470001,65.470001,17490000
1963-03-20,65.470001,66.730003,65.300003,66.400002,66.400002,18530000
1963-03-27,66.400002,67.360001,66.209999,66.839996,66.839996,19800000
1963-04-03,66.839996,68.910004,66.629997,68.449997,68.449997,26230000
1963-04-10,68.449997,69.610001,67.660004,69.139999,69.139999,22630000
1963-04-17,69.139999,69.830002,68.470001,69.529999,69.529999,25050000
1963-04-24,69.529999,70.180000,69.230003,69.800003,69.800003,24130000
1963-05-01,69.800003,70.510002,69.029999,69.440002,69.440002,22530000
1963-05-08,69.440002,70.889999,69.230003,70.209999,70.209999,25660000
1963-05-15,70.209999,70.809998,69.589996,70.139999,70.139999,25980000
1963-05-22,70.139999,70.680000,69.480003,70.010002,70.010002,21900000
1963-05-29,70.010002,71.239998,69.860001,70.699997,70.699997,20370000
1963-06-05,70.699997,71.169998,69.570000,70.029999,70.029999,25040000
1963-06-12,70.029999,70.849998,69.629997,70.019997,70.019997,21160000
1963-06-19,70.019997,70.669998,69.309998,70.040001,70.040001,20950000
1963-06-26,70.040001,70.099998,68.580002,69.459999,69.459999,18960000
1963-07-03,69.459999,70.480003,69.419998,70.040001,70.040001,14060000
1963-07-10,70.040001,70.309998,68.849998,69.139999,69.139999,17780000
1963-07-17,69.139999,69.529999,67.540001,67.910004,67.910004,18190000
1963-07-24,67.910004,69.449997,67.760002,69.239998,69.239998,15420000
1963-07-31,69.239998,70.400002,68.639999,70.169998,70.169998,17440000
1963-08-07,70.169998,71.089996,69.580002,70.790001,70.790001,20520000
1963-08-14,70.790001,71.949997,70.389999,71.379997,71.379997,20840000
1963-08-21,71.379997,72.300003,70.949997,71.519997,71.519997,22020000
1963-08-28,71.519997,73.089996,71.489998,72.660004,72.660004,20360000
1963-09-04,72.660004,73.510002,72.150002,72.989998,72.989998,29260000
1963-09-11,72.989998,73.790001,72.720001,73.120003,73.120003,27150000
1963-09-18,73.120003,73.709999,72.510002,73.300003,73.300003,25120000
1963-09-25,73.300003,73.870003,71.279999,72.220001,72.220001,23940000
1963-10-02,72.220001,73.269997,71.919998,72.599998,72.599998,22380000
